user,item,rating
2013.0-10.0-12.0-8.0|2579.0,SpreadWestgate,5.5
2013.0-10.0-12.0-96.0|333.0,SpreadMirage,26.874001908071133
2013.0-10.0-12.0-96.0|333.0,SpreadPinnacle,26.5
2013.0-10.0-12.0-96.0|333.0,SpreadSBG,26.874356240354654
2013.0-10.0-12.0-96.0|333.0,SpreadSIA,27.5
2013.0-10.0-12.0-96.0|333.0,SpreadSportsbet,26.5
2013.0-10.0-12.0-96.0|333.0,SpreadStation,26.831969019717903
2013.0-10.0-12.0-96.0|333.0,SpreadWag,27
2013.0-10.0-12.0-96.0|333.0,SpreadWestgate,26.8733258606936
2013.0-10.0-12.0-99.0|57.0,SpreadMirage,-8
2013.0-10.0-12.0-99.0|57.0,SpreadPinnacle,-9
2013.0-10.0-12.0-99.0|57.0,SpreadSBG,-9
2013.0-10.0-12.0-99.0|57.0,SpreadSIA,-8
2013.0-10.0-12.0-99.0|57.0,SpreadSportsbet,-9
2013.0-10.0-12.0-99.0|57.0,SpreadStation,-8
2013.0-10.0-12.0-99.0|57.0,SpreadWag,-7.5
2013.0-10.0-12.0-99.0|57.0,SpreadWestgate,-8
2013.0-10.0-13.0-145.0|245.0,SpreadMirage,7
2013.0-10.0-13.0-145.0|245.0,SpreadPinnacle,7
2013.0-10.0-13.0-145.0|245.0,SpreadSBG,7
2013.0-10.0-13.0-145.0|245.0,SpreadSIA,7
2013.0-10.0-13.0-145.0|245.0,SpreadSportsbet,7
2013.0-10.0-13.0-145.0|245.0,SpreadStation,7
2013.0-10.0-13.0-145.0|245.0,SpreadWag,7
2013.0-10.0-13.0-145.0|245.0,SpreadWestgate,7
2013.0-10.0-13.0-2439.0|62.0,SpreadMirage,-8
2013.0-10.0-13.0-2439.0|62.0,SpreadPinnacle,-7.5
2013.0-10.0-13.0-2439.0|62.0,SpreadSBG,-7.5
2013.0-10.0-13.0-2439.0|62.0,SpreadSIA,-8
2013.0-10.0-13.0-2439.0|62.0,SpreadSportsbet,-7.5
2013.0-10.0-13.0-2439.0|62.0,SpreadStation,-8.5
2013.0-10.0-13.0-2439.0|62.0,SpreadWag,-7.874599905128792
2013.0-10.0-13.0-2439.0|62.0,SpreadWestgate,-7.5
