Season,Start,Week,Away,Home,APts,HPts,AFD,AFum,AFumL,APA,API,ARA,ARY,HFD,HFum,HFumL,HPA,HPI,HRA,HRY
2013,2013-09-14 19:30:00,0,GT,DUKE,38,14,28,2,0,16,1,60,344,13,0,0,28,0,34,132
2013,2013-09-14 19:30:00,0,NEV,FSU,7,62,13,0,0,24,1,38,128,29,0,0,22,1,41,377
2013,2013-09-14 19:30:00,0,ALA,TA&M,49,42,31,1,1,29,0,37,234,31,2,0,39,2,32,164
2013,2013-09-14 19:30:00,0,STON,BUFF,23,26,25,1,1,48,2,45,140,22,1,1,48,1,36,133
2013,2013-09-14 19:30:00,0,CP,CSU,17,34,19,1,0,20,0,41,203,24,2,0,30,0,46,236
2013,2013-09-14 19:30:00,0,DEL,NAVY,7,51,18,2,1,32,2,34,157,31,2,1,15,0,62,352
2013,2013-09-14 19:30:00,0,TENN,ORE,14,59,14,1,1,29,0,38,178,29,1,0,35,0,41,216
2013,2013-09-14 20:00:00,0,BALL,UNT,27,34,19,4,3,46,2,20,163,31,1,1,47,0,45,231
2013,2013-09-14 20:00:00,0,WAG,SYR,0,54,5,3,1,21,2,31,53,27,0,0,35,0,48,236
2013,2013-09-14 20:00:00,0,UNCO,WYO,7,35,20,0,0,52,2,26,65,26,2,1,47,1,42,173
2013,2013-09-14 21:00:00,0,NIU,IDHO,45,35,24,2,2,29,0,48,356,27,3,3,27,0,63,195
2013,2013-09-14 22:00:00,0,UCF,PSU,34,31,20,1,0,27,1,38,219,24,1,1,29,0,35,193
2013,2013-09-14 22:00:00,0,IOWA,ISU,27,21,21,2,1,23,0,60,218,14,1,0,39,2,24,59
2013,2013-09-14 22:00:00,0,BCU,FIU,34,13,19,2,0,11,1,52,311,9,1,1,18,1,33,73
2013,2013-09-14 22:00:00,0,WASH,ILL,34,24,30,2,2,35,0,50,273,17,0,0,26,1,36,136
2013,2013-09-14 22:30:00,0,SUU,WSU,10,48,13,1,0,30,3,34,73,22,1,0,48,1,17,54
2013,2013-09-14 23:00:00,0,MEM,MTSU,15,17,17,1,0,30,2,46,180,20,0,0,36,1,28,60
2013,2013-09-14 23:00:00,0,MSST,AUB,20,24,19,1,0,28,0,40,202,22,4,1,34,2,36,120
2013,2013-09-14 23:00:00,0,NWST,CIN,9,66,12,0,0,23,1,34,100,28,0,0,22,0,45,324
2013,2013-09-14 23:00:00,0,VAN,SC,25,35,14,1,1,22,1,33,121,31,3,2,38,1,49,220
2013,2013-09-14 23:00:00,0,FAU,USF,28,10,13,2,0,17,1,36,130,15,2,2,25,1,40,167
2013,2013-09-14 23:00:00,0,EWU,TOL,21,33,18,1,1,41,1,22,51,25,0,0,26,0,51,325
2013,2013-09-14 23:00:00,0,NICH,ULL,7,70,18,3,3,40,2,33,141,28,2,0,16,1,53,456
2013,2013-09-14 23:00:00,0,OSU,CAL,52,34,27,1,1,32,0,55,332,28,2,1,53,1,37,132
2013,2013-09-14 23:00:00,0,UMASS,KSU,7,37,17,0,0,32,2,38,123,22,2,1,12,1,46,329
2013,2013-09-14 23:00:00,0,KENT,LSU,13,45,16,2,0,29,0,32,58,26,1,1,18,0,37,307
2013,2013-09-14 23:30:00,0,KU,RICE,14,23,11,0,0,29,2,35,100,19,0,0,36,2,42,192
2013,2013-09-14 23:30:00,0,LAM,OKST,3,59,13,1,1,40,0,37,121,26,0,0,36,1,38,155
2013,2013-09-14 23:30:00,0,MD,CONN,32,21,21,3,2,28,1,43,224,21,0,0,45,2,34,25
2013,2013-09-14 23:30:00,0,WKU,USA,24,31,26,0,0,47,3,27,145,18,2,1,27,0,39,144
2013,2013-09-15 00:00:00,0,WEB,USU,6,70,7,3,2,23,0,33,104,28,2,1,29,0,48,267
2013,2013-09-15 00:00:00,0,UTEP,NMSU,42,21,29,1,1,28,1,56,293,15,2,2,26,2,19,99
2013,2013-09-15 00:00:00,0,MRSH,OHIO,31,34,28,3,3,45,1,34,116,19,0,0,39,0,36,60
2013,2013-09-15 00:00:00,0,ND,PUR,31,24,20,1,1,33,0,37,91,16,1,0,41,1,21,38
2013,2013-09-15 00:00:00,0,MISS,TEX,44,23,28,1,1,27,0,45,272,20,1,1,36,0,37,124
2013,2013-09-15 01:00:00,0,WMU,NW,17,38,17,1,0,41,1,31,143,31,3,1,22,1,55,332
2013,2013-09-15 02:00:00,0,CMU,UNLV,21,31,21,0,0,46,2,32,113,24,0,0,30,1,41,122
2013,2013-09-15 02:00:00,0,ORST,UTAH,51,48,22,2,0,44,0,28,48,26,1,0,33,3,39,260
2013,2013-09-15 02:30:00,0,WIS,ASU,30,32,15,1,1,31,0,32,231,32,1,1,51,1,42,116
2013,2013-09-15 02:30:00,0,UTSA,ARIZ,13,38,23,2,1,47,1,29,102,25,1,1,21,0,48,264
2013,2013-09-19 23:30:00,0,CLEM,NCST,26,14,22,0,0,37,0,40,171,18,1,1,37,1,36,165
2013,2013-09-21 01:00:00,0,BSU,FRES,40,41,32,1,1,47,1,53,200,37,0,0,60,0,24,62
2013,2013-09-21 16:00:00,0,WAKE,ARMY,25,11,18,1,1,17,1,45,228,18,3,2,18,0,55,271
2013,2013-09-21 16:00:00,0,MTSU,FAU,42,35,21,0,0,24,2,45,296,28,5,3,50,2,45,182
2013,2013-09-21 16:00:00,0,WMU,IOWA,3,59,9,2,1,38,3,20,74,22,3,2,18,0,58,258
