Visiter,Home,SpreadWag,OverUnderWag,Year,Month,Day,HomeID,VisID
OSU,Penn State,17.5,55.5,2016,10,22,213,194
Texas A&M,Alabama,-18.0,58.0,2016,10,22,333,245
Colorado State,UNLV,-1.0,56.0,2016,10,22,2439,36
Fresno State,Utah State,-18.0,51.5,2016,10,22,328,278
Texas,Kansas State,1.0,54.5,2016,10,22,2306,251
ECU,Cincinnati,-2.0,63.0,2016,10,22,2132,151
Akron,Ball State,-3.0,61.0,2016,10,22,2050,2006
Colorado,Stanford,-2.0,49.5,2016,10,22,24,38
Rutgers,Minnesota,-17.0,44.5,2016,10,22,135,164
Ohio,Kent State,1.0,43.0,2016,10,22,2309,195
Utah,UCLA,-4.0,43.5,2016,10,22,26,254
Oregon State,Washington,-36.5,53.0,2016,10,22,264,204
Michigan State,Maryland,2.5,50.0,2016,10,22,120,127
Illinois,Michigan,-39.5,51.5,2016,10,22,130,356
Ohio,Toledo,-15.5,57.0,2016,10,27,2649,195
Akron,Buffalo,18.0,58.0,2016,10,27,2084,2006
VT,Pitt,3.5,54.5,2016,10,27,221,259
Appalachian St,Ga Southern,6.0,46.0,2016,10,27,290,2026
Cal,USC,-19.5,74.5,2016,10,27,30,25
San Diego State,Utah State,4.5,45.5,2016,10,28,328,21
Air Force,Fresno State,14.5,51.5,2016,10,28,278,2005
Navy,USF,-6.5,65.5,2016,10,28,58,2426
Miami (OH),E Michigan,-7.0,50.0,2016,10,29,2199,193
UConn,ECU,-6.5,53.0,2016,10,29,151,41
New Mexico St,Texas A&M,-43.0,71.0,2016,10,29,245,166
Mid Tennessee,FIU,17.5,61.5,2016,10,29,2229,2393
W Kentucky,FAU,21.0,66.0,2016,10,29,2226,98
Cincinnati,Temple,-7.5,54.0,2016,10,29,218,2132
Army,Wake Forest,-7.0,41.5,2016,10,29,154,349
Texas Tech,TCU,-9.5,87.0,2016,10,29,2628,2641
Kansas,Oklahoma,-40.5,65.0,2016,10,29,201,2305
Penn State,Purdue,14.5,57.0,2016,10,29,2509,213
Maryland,Indiana,-3.5,55.0,2016,10,29,84,120
Louisville,UVA,33.0,69.5,2016,10,29,258,97
Georgia State,South Alabama,-5.5,47.5,2016,10,29,6,2247
Kent State,Cent Michigan,-13.5,44.0,2016,10,29,2117,2309
Clemson,FSU,4.5,59.0,2016,10,29,52,228
Kansas State,Iowa State,6.0,50.5,2016,10,29,66,2306
West Virginia,Oklahoma State,4.0,63.5,2016,10,29,197,277
Miami (FL),Notre Dame,-1.5,57.5,2016,10,29,87,2390
Baylor,Texas,3.5,74.0,2016,10,29,251,239
Tulsa,Memphis,-6.5,74.0,2016,10,29,235,202
SMU,Tulane,1.5,48.0,2016,10,29,2655,2567
Washington St,Oregon State,14.5,55.0,2016,10,29,204,265
Stanford,Arizona,4.0,50.5,2016,10,29,12,24
Northwestern,OSU,-25.5,53.5,2016,10,29,194,77
Nebraska,Wisconsin,-9.0,43.5,2016,10,29,275,158
Marshall,Southern Miss,-17.0,68.0,2016,10,29,2572,276
Duke,Georgia Tech,-6.5,51.0,2016,10,29,59,150
Georgia,Florida,-6.5,43.0,2016,10,29,57,61
Auburn,Ole Miss,4.0,65.0,2016,10,29,145,2
UCF,Houston,-10.0,58.5,2016,10,29,248,2116
Rice,LA Tech,-29.5,68.0,2016,10,29,2348,242
Boise State,Wyoming,15.0,62.0,2016,10,29,2751,68
North Texas,UTSA,-3.5,52.0,2016,10,29,2636,249
Kentucky,Missouri,-6.5,70.0,2016,10,29,142,96
UL Monroe,Arkansas State,-21.0,55.0,2016,10,29,2032,2433
Old Dominion,UTEP,5.0,55.5,2016,10,29,2638,295
Michigan,Michigan State,25.0,51.5,2016,10,29,127,130
Washington,Utah,10.0,53.0,2016,10,29,254,264
UNLV,San Jose State,3.0,55.0,2016,10,29,23,2439
Tennessee,South Carolina,14.5,51.0,2016,10,29,2579,2633
Boston College,North Carolina St,-16.0,43.5,2016,10,29,152,103
Arizona State,Oregon,-8.5,73.0,2016,10,29,2483,9
Minnesota,Illinois,8.0,47.0,2016,10,29,356,135
New Mexico,Hawaii,-2.5,65.5,2016,10,30,62,167
Bowling Green,N Illinois,-17.0,72.0,2016,11,1,2459,189
W Michigan,Ball State,18.0,63.5,2016,11,1,2050,2711
Toledo,Akron,9.5,71.5,2016,11,2,2006,2649
Buffalo,Ohio,-18.0,51.0,2016,11,3,195,2084
Oklahoma,Iowa State,20.5,71.5,2016,11,3,66,201
UCLA,Colorado,-13.0,57.0,2016,11,3,38,26
Arkansas State,Georgia State,4.0,47.5,2016,11,3,2247,2032
Cent Michigan,Miami (OH),-1.0,47.0,2016,11,4,193,2117
Temple,UConn,10.5,44.5,2016,11,4,41,218
San Jose State,Boise State,-31.0,59.0,2016,11,4,68,23
Navy,Notre Dame,-7.0,63.5,2016,11,5,87,2426
Texas State,Appalachian St,-31.5,55.0,2016,11,5,2026,326
BYU,Cincinnati,7.5,54.0,2016,11,5,2132,252
Louisville,Boston College,25.0,53.0,2016,11,5,103,97
Purdue,Minnesota,-17.5,54.5,2016,11,5,135,2509
VT,Duke,12.0,54.5,2016,11,5,150,259
Syracuse,Clemson,-27.5,67.5,2016,11,5,228,183
Kansas,West Virginia,-32.5,54.5,2016,11,5,277,2305
Indiana,Rutgers,11.5,58.0,2016,11,5,164,84
FSU,North Carolina St,7.0,58.5,2016,11,5,152,52
